cor.locs,Latitude,Longitude
"Trop Forestry Res Inst, Genet & Plant Propagat Div, Post Office-RFRC,Mandla Rd, Jabalpur 482021, India.",22.6326108,80.3636493
NA,,
NA,,
"Cent Inst Fisheries Educ, Div Fish Genet & Biotechnol, Bombay 61, Maharashtra, India.",19.1398709,72.8161414
"Minist Environm Forest & Climate Change, Natl Ctr Sustainable Coastal Management, Chennai 600025, Tamil Nadu, India.",13.013487,80.2332271
"Natl Remote Sensing Agcy, Dept Space Govt India, Atmospher Sci & Oceanog Grp, Atmospher Sci Sect, Hyderabad 500625, Andhra Pradesh, India.",16.4795969,79.8923979
"Inst Wood Sci & Technol, 18th Cross, Bangalore 560003, Karnataka, India.",13.0112668,77.5704048
"Natl Dairy Res Inst, ICAR, Karnal 132001, Haryana, India.",29.7008333,76.9838889
"CSIR, Cent Salt & Marine Chem Res Inst, Div Marine Biotechnol & Ecol, GB Marg, Gujarat 364002, India.",22.6708317,71.5723953
"Cent Inst Min & Fuel Res, Environm Management Div, Digwadih Campus,PO FRI, Dhanbad 828108, Jharkhand, India.",23.7066203,86.4132148
"Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India.",25.9644427,85.2722472
"Indian Inst Sci, Ctr Ecol Sci, Bangalore 560012, Karnataka, India.",13.0140114,77.565762
"Gifu Univ, River Basin Res Ctr, 1-1 Yanagido, Gifu 5011193, Japan.",35.4651333,136.7372096
"TNAU, Forest Coll & Res Inst, Dept Forest Prod & Wildlife, Mettupalayam 641301, India.",11.3027849,76.9383385
"ICAR Cent Arid Zone Res Inst CAZRI, Reg Res Stn RRS, Pali Marwar 306401, Rajasthan, India.",25.7984831,73.3022193
"ATREE, Bangalore 560064, Karnataka, India.",13.0642925,77.6202162
"Natl Bur Plant Genet Resources, ICAR, TCCU, New Delhi 110012, India.",28.6282145,77.1493904
NA,,
"Mekelle Univ, Coll Nat & Computat Sci, Dept Biol, Mekelle 3033, Tigray, Ethiopia.",13.4935504,39.465738
"KERALA FOREST RES INST,DIV ENTOMOL,PEECHI 680653,KERALA,INDIA.",10.5191749,76.3695167
"St Johns Coll, Sch Chem Sci, Dept Chem, Agra 282002, Uttar Pradesh, India.",27.193875,78.002463
"ITC Life Sci & Technol Ctr, Peenya Ind Area Phase 1, Bangalore 560058, Karnataka, India.",13.0416825,77.5237599
NA,,
NA,,
"Rajmata Vijayaraje Scindia Krishi Vishwa Vidyala, Gwalior 474002, India.",26.2231392,78.1908748
"Gurukula Kangri Deemed Univ, Fac Management Studies, Haridwar, Uttarakhand, India.",29.9200441,78.1229689
"Hebrew Univ Jerusalem Hadassah Hosp & Med Sch, Fac Med Dent, Dept Prosthodont, POB 12272, IL-91120 Jerusalem, Israel.",31.768319,35.21371
"Dibrugarh Univ, Ctr Studies Biotechnol, Dibrugarh 786004, Assam, India.",27.4494916,94.8978563
"Colorado State Univ, Nat Resource Ecol Lab, Ft Collins, CO 80523 USA.",40.5702631,-105.0903456
"Univ Minnesota Twin Cities, Dept Forest Resources, Minneapolis, MN 55455 USA.",44.97399,-93.2277285
"ICAR Indian Agr Res Inst, Div Entomol, New Delhi 110012, India.",28.6376724,77.1571443
NA,,
"Univ Delhi, CEMDE, Dept Environm Studies, Delhi 110007, India.",28.688279,77.214811
"SGSITS, Dept Mech Engn, Indore, Madhya Pradesh, India.",22.7252285,75.871344
"Jadavpur Univ, Sch Oceanog Studies, Kolkata, W Bengal, India.",22.4993818,88.3712752
"ICAR IIHR, Cent Hort Expt Stn, Bhubaneswar, Odisha, India.",20.2630022,85.8417388
"ICAR Cent Soil Salin Res Inst, Karnal 132001, India.",29.7082322,76.9541406
"Amrita Vishwa Vidyapeetham, Dept Sci, Amrita Sch Arts & Sci, Mysuru Campus, Mysuru 570026, Karnataka, India.",12.3021786,76.6046405
"Univ Delhi, Dept Environm Studies, Delhi 110007, India.",28.688279,77.214811
"Indian Inst Remote Sensing, Forestry & Ecol Dept, 4 Kalidas Rd, Dehra Dun 248001, Uttar Pradesh, India.",27.5705886,80.0981869
"Natl Inst Technol Hamirpur, Dept Architecture, Hamirpur 177005, HP, India.",31.7096132,76.5199195
"ICAR Directorate Coldwater Fisheries Res, Uttarakhand 263136, Bhimtal, India.",29.3607268,79.5528173
"Ashoka Trust Res Ecol & Environm, Suri Sehgal Ctr Biodivers & Conservat, Bangalore 560064, Karnataka, India.",13.0716618,77.6484903
"Phys Res Lab, Planetary & Geosci Div, Ahmadabad 380009, Gujarat, India.",23.0362279,72.5625132
"Univ Rajasthan, Dept Bot, Jaipur 302004, Rajasthan, India.",26.9071788,75.8159053
"Natl Inst Oceanog, Panaji 403004, Goa, India.",15.459061,73.8051458
NA,,
"Nat Conservat Fdn, Ctr Ecol Res & Conservat, 3076-5,4 Cross,Gokulam Pk, Mysore 570002, Karnataka, India.",12.3309526,76.6320163
"Indian Inst Sci, Ctr Ecol Sci, Bangalore 560012, Karnataka, India.",13.0140114,77.565762
"Nanjing Univ Informat Sci & Technol, Sch Hydrol & Water Resources, Nanjing 210044, Peoples R China.",32.0568391,118.7789602
NA,,
"CSIR, Natl Inst Oceanog, Panaji 403004, Goa, India.",15.459061,73.8051458
NA,,
"UAS, Coll Agr, Dept Agr Extens, GKVK Campus, Bangaluru 560065, Karnataka, India.",13.0300432,77.5878517
"Johns Hopkins Univ, Dept Hlth Behav & Soc, 624 N Broadway, Baltimore, MD 21205 USA.",39.3299013,-76.6205177
"Univ Florida, Inst Food & Agr Sci, Sch Forest Resources & Conservat, POB 110410, Gainesville, FL 32611 USA.",29.6101599,-82.3682014
"CSIR, Natl Bot Res Inst, Plant Divers Systemat & Herbarium Div, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India.",26.8562834,80.948002
"Mizoram Univ, Dept Forestry, Aizawl, India.",23.7332381,92.6654329
NA,,
"NE Inst Sci & Technol, Med Aromat & Econ Plants Div, Plant Genom Lab, Jorhat 785006, Assam, India.",26.7241939,94.1616143
"Natl Inst Technol, Calicut 673601, Kerala, India.",11.3097769,75.9347113
