address,Latitude,Longitude,count,paperID
"Indian Inst Sci Educ & Res Bhopal, Dept Earth & Environm Sci, Bhopal Bypass Rd, Bhopal 462066, Madhya Pradesh, India",23.2666891,77.4131785,2,A2665
"Indian Inst Sci Educ & Res Bhopal, Ctr ForRes Environm & Sustainable Technol, Bhopal Bypass Rd, Bhopal 462066, Madhya Pradesh, India",23.2820742,77.2799177,1,A2665
"Nat Conservat Fdn, 3076-5,4th Cross,Gokulam Pk, Mysore 570002, Karnataka, India",12.3309526,76.6320163,3,A1524
"Natl Ctr Biol Sci, Wildlife Off, Researchers Wildlife Conservat, GKVK Campus,Bellary Rd, Bangalore 560065, Karnataka, India",13.0773484,77.5778085,1,A1524
"French Inst Pondicherry, Dept Ecol, 11 St Louis St, Pondicherry 605001, India",11.9369401,79.8356517,1,A1524
"VHNSN Coll Autonomous, Dept Bot, 3-151-1 Coll Rd, Virudunagar 626001, Tamil Nadu, India",9.5736426,77.9731303,1,A1524
"Gujarat Univ, Dept Climate Change Impacts Management, Ahmadabad 380009, Gujarat, India",23.0391981,72.543715,2,A2665
"Indian Space Res Org, Microwave Tech Dev Div, Space Applicat Ctr, Ahmadabad 380015, Gujarat, India",23.0277933,72.518888,2,A2665
NA,,,NA,C0229
NA,,,NA,C0240
NA,,,NA,B0007
NA,,,NA,C0283
NA,,,2,A3226
NA,,,NA,B0018
NA,,,1,A2474
NA,,,NA,B0022
NA,,,1,A3228
NA,,,NA,C0005
NA,,,NA,C0015
"Cotton Univ, Dept Environm Biol & Wildlife Sci, Panbazar 781001, Guwahati, India",26.187526,91.7440996,4,A1692
"Natl Inst Adv Studies, Indian Inst Sci Campus, Bengaluru 560012, India",13.029156,77.5642728,2,A1692
"Indian Inst Sci Educ & Res Kolkata, Mohanpur 741246, India",22.572646,88.363895,1,A1692
"Natl Ctr Biol Sci, Postgrad Program Wildlife Biol & Conservat, Bangalore 560065, Karnataka, India",13.0935798,77.5778529,1,A1524
"Wildlife Conservat Soc India Program, Bangalore 560070, Karnataka, India",12.9149298,77.5634899,1,A1524
"Ctr Wildlife Studies, Bangalore 560070, Karnataka, India",12.974809,77.616254,1,A1524
"Indian Inst Remote Sensing, Forestry & Ecol Dept, Dehra Dun 248001, Uttarakhand, India",30.3412185,78.0471393,3,A1692
"Czech Univ Life Sci, Fac Forestry & Wood Sci, Prague 16500, Czech Republic",50.1341215,14.3739696,1,A1692
"Indian Inst Technol, Dept Civil Engn, Geomat Grp, Roorkee 247667, Uttar Pradesh, India",27.5705886,80.0981869,1,A1692
NA,,,NA,C0009
NA,,,NA,C0061
"Dr Yashwant Singh Parmar Univ Hort & Forestry, Microbiol Sect, Dept Basic Sci, Solan 173230, HP, India",31.2194893,76.9815877,4,A2185
NA,,,NA,C0210
NA,,,NA,C0020
NA,,,NA,B0005
NA,,,NA,B0003
NA,,,1,A3094
NA,,,NA,C0345
NA,,,NA,A3331
NA,,,NA,B0026
"Bangor Univ, Sch Environm Nat Resources & Geog SENRGY, Bangor LL57 2UW, Gwynedd, Wales",53.2261504,-4.1316678,3,A1704
"Rajiv Gandhi Univ, Dept Zool, Univ Rd, Itanagar 791112, Arunachal Prade, India",27.1499677,93.7672772,2,A0784
"Tata Inst Fundamental Res, Natl Ctr Biol Sci, Bellary Rd, Bangalore 560065, Karnataka, India",13.0938741,77.5763042,2,A0784
