cor.locs,Latitude,Longitude,cor.locs2
"Bharathidasan Univ, Sch Life Sci, Dept Bot, Tiruchirappalli 620024, Tamil Nadu, India.",10.6822075,78.7427168,"Bharathidasan Univ, Sch Life Sci, Dept Bot, Tiruchirappalli 620024, Tamil Nadu, India"
NA,,,NA
"Forest Res Inst, Bot Div, PO New Forest, Dehra Dun 248006, Uttar Pradesh, India.",30.3438262,77.9978107,"Forest Res Inst, Bot Div, PO New Forest, Dehra Dun 248006, Uttar Pradesh, India"
NA,,,NA
NA,,,NA
"Tripura Univ, Dept Geog & Disaster Management, Agartala 799130, Tripura West, India.",23.7618654,91.2639182,"Tripura Univ, Dept Geog & Disaster Management, Agartala 799130, Tripura West, India"
NA,,,NA
"ICAR Indian Inst Soil & Water Conservat, Dehra Dun, Uttarakhand, India.",30.3164945,78.0321918,"ICAR Indian Inst Soil & Water Conservat, Dehra Dun, Uttarakhand, India"
NA,,,NA
NA,,,NA
NA,,,NA
"Indian Inst Sci, Asian Nat Conservat Fdn, Innovation Ctr 1st Floor, Bangalore 560012, Karnataka, India.",13.0047991,77.5786663,"Indian Inst Sci, Asian Nat Conservat Fdn, Innovation Ctr 1st Floor, Bangalore 560012, Karnataka, India"
"Birbal Sahni Inst Palaeosci, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India.",26.8671761,80.9392066,"Birbal Sahni Inst Palaeosci, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India"
"Univ Lyon 1, CNRS, UMR 5558, Lab Biometrie & Biol Evolut, 43 Bd 11 Novembre 1918, F-69622 Villeurbanne, France.",45.7788727,4.8679611,"Univ Lyon 1, CNRS, UMR 5558, Lab Biometrie & Biol Evolut, 43 Bd 11 Novembre 1918, F-69622 Villeurbanne, France"
