"","cor.locs","Latitude","Longitude","cor.locs2"
"74","DDU Gorakhpur Univ, Dept Bot, Plant Ecol Lab, Gorakhpur 273009, Uttar Pradesh, India.",NA,NA,"DDU Gorakhpur Univ, Dept Bot, Plant Ecol Lab, Gorakhpur 273009, Uttar Pradesh, India"
"76","NIMR, Sector 8, New Delhi 110077, India.",NA,NA,"NIMR, Sector 8, New Delhi 110077, India"
"78",NA,NA,NA,NA
"79","Univ Fed Parana, Dept Bot, Caixa Postal 19031, BR-81531980 Curitiba, PR, Brazil.",NA,NA,"Univ Fed Parana, Dept Bot, Caixa Postal 19031, BR-81531980 Curitiba, PR, Brazil"
"82","Natl Bur Plant Genet Resources, Pusa Campus, New Delhi 110012, India.",NA,NA,"Natl Bur Plant Genet Resources, Pusa Campus, New Delhi 110012, India"
"83","Cent Food Technol Res Inst, Fermentat Technol & Bio Engn Dept, Mysore 500020, Karnataka, India.",NA,NA,"Cent Food Technol Res Inst, Fermentat Technol & Bio Engn Dept, Mysore 500020, Karnataka, India"
"87",NA,NA,NA,NA
"95",NA,NA,NA,NA
"96",NA,NA,NA,NA
"102","Manonmaniam Sundaranar Univ, Sri Paramakalyani Ctr Environm Sci, Environm Nanotechnol Div, Alwarkurichi 627412, Tamil Nadu, India.",NA,NA,"Manonmaniam Sundaranar Univ, Sri Paramakalyani Ctr Environm Sci, Environm Nanotechnol Div, Alwarkurichi 627412, Tamil Nadu, India"
"103","Natl Tiger Conservat Author, New Delhi 110011, India.",NA,NA,"Natl Tiger Conservat Author, New Delhi 110011, India"
"104",NA,NA,NA,NA
"105","Univ Sao Paulo, Lorena Sch Engn EEL, BR-05508050 Lorena, SP, Brazil.",NA,NA,"Univ Sao Paulo, Lorena Sch Engn EEL, BR-05508050 Lorena, SP, Brazil"
"106","Kumaun Univ, Dept Bot, DSB Campus, Naini Tal 263002, India.",NA,NA,"Kumaun Univ, Dept Bot, DSB Campus, Naini Tal 263002, India"
"107","Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India.",NA,NA,"Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India"
"108","Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Ecol Lab, Sagar 470003, Madhya Pradesh, India.",NA,NA,"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Ecol Lab, Sagar 470003, Madhya Pradesh, India"
"109","CNRS MAEE, French Inst Pondicherry, UMIFRE 21, USR 3330, 11 St Louis St, Pondicherry 605001, India.",NA,NA,"CNRS MAEE, French Inst Pondicherry, UMIFRE 21, USR 3330, 11 St Louis St, Pondicherry 605001, India"
"110","Tezpur Univ, Dept Environm Sci, Tezpur 784028, Assam, India.",NA,NA,"Tezpur Univ, Dept Environm Sci, Tezpur 784028, Assam, India"
"111","Wildlife Inst India, Post Box 18, Dehra Dun 248001, Uttarakhand, India.",NA,NA,"Wildlife Inst India, Post Box 18, Dehra Dun 248001, Uttarakhand, India"
"112","Sethupathy Govt Arts Coll, Dept Zool, Ramanathapuram 623502, Tamil Nadu, India.",NA,NA,"Sethupathy Govt Arts Coll, Dept Zool, Ramanathapuram 623502, Tamil Nadu, India"
"113",NA,NA,NA,NA
"114","Madurai Kamaraj Univ, Sch Energy Environm & Nat Resources, Madurai 625021, Tamil Nadu, India.",NA,NA,"Madurai Kamaraj Univ, Sch Energy Environm & Nat Resources, Madurai 625021, Tamil Nadu, India"
"115","SASTRA Deemed Univ, Ctr Adv Res Environm, Sch Civil Engn, Thanjavur 613401, India.",NA,NA,"SASTRA Deemed Univ, Ctr Adv Res Environm, Sch Civil Engn, Thanjavur 613401, India"
"117",NA,NA,NA,NA
"123",NA,NA,NA,NA
"127",NA,NA,NA,NA
"128",NA,NA,NA,NA
"130",NA,NA,NA,NA
"132",NA,NA,NA,NA
"137",NA,NA,NA,NA
"142",NA,NA,NA,NA
"145",NA,NA,NA,NA
"146",NA,NA,NA,NA
"148",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157","Mizoram Univ, Dept Biotechnol, Mol Microbiol & Systemat Lab, Mizoram, India.",NA,NA,"Mizoram Univ, Dept Biotechnol, Mol Microbiol & Systemat Lab, Mizoram, India"
"158","Nature Conservancy, 1815 N Lynn St, Arlington, VA 22203 USA.",NA,NA,"Nature Conservancy, 1815 N Lynn St, Arlington, VA 22203 USA"
"160",NA,NA,NA,NA
"162",NA,NA,NA,NA
